baseline,revised,original_words,revised_words,original_tables,revised_tables,original_figures,revised_figures,missing_baseline_headings,baseline_sha256
Ghar_Sajag_Software_Requirements_Document_SRD_v1.0(1).docx,Ghar_Sajag_Software_Requirements_Document_SRD_v2.0.docx,2421,8015,12,14,0,0,[],ea536fcd35acd535b157c64cb5e31840e4ce17385e851336f793ca694b20de5f
Ghar_Sajag_P0_Requirements_and_Software_Design_v1.3(2).docx,Ghar_Sajag_P0_Requirements_and_Software_Design_v2.0.docx,19281,26420,47,51,1,1,[],60af48540f499d564f7386f01bfbefb4e02c5165eb643fb9cfb2bc46683d443a
Ghar_Sajag_Hardware_Independent_Low_Level_Design_v1.1(2).docx,Ghar_Sajag_Hardware_Independent_Low_Level_Design_v2.0.docx,6125,16583,58,62,0,0,[],cb09eee47b2f869ab14cdebbaaa5bee1cf86a81e3188368b05ef6c535da834b8
Ghar_Sajag_System_Architecture_and_Module_UML_v1.0(1).docx,Ghar_Sajag_System_Architecture_and_Module_UML_v2.0.docx,3109,13595,4,8,33,34,[],5a9ffab9256f10e7cc04da9c0ddfbe1ddd878bdb74572fdb1989744bb62e3052
Ghar_Sajag_P0_Requirement_Sequence_Diagrams_v1.0(1).docx,Ghar_Sajag_P0_Requirement_Sequence_Diagrams_v2.0.docx,2107,7657,3,5,24,29,[],51be933df736bd6bf01b45268fa3caa7a064af2ce73a5c1d57cc5503eb520dfa
Family_CheckIn_Deployment_and_Routine_Logic_Guide(2).docx,Family_CheckIn_Deployment_and_Routine_Logic_Guide_v2.0.docx,2639,3856,15,17,3,3,[],83850717203727fb81929c079bef6eeb6ba8d93a8abb33e859ab04f015d7c945
Family_CheckIn_Home_Risk_Startup_Blueprint(3).docx,Family_CheckIn_Home_Risk_Startup_Blueprint_v2.0.docx,4229,4967,19,20,0,0,[],4b78f668acd29534f3d6df64002e16df10732b68ab7c63631f3b60f2d33bc0b0
